UsageData 2026-05-12,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/2/2025,1/2/2025,TRUE,TRUE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/2/2025,1/2/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,CATIA,FLUIDS,Success,NA,1/2/2025,1/2/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,CATIA,FLUIDS,Success,NA,1/2/2025,1/2/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
POLYLINE CREATION,EXECUTION,CATIA,FLUIDS,Failed,ASIA,1/2/2025,1/2/2025,TRUE,FALSE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/2/2025,1/2/2025,TRUE,TRUE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/2/2025,1/2/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Failed,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
POINT CHART,TUBE,CATIA,FLUIDS,Success,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/3/2025,1/3/2025,TRUE,FALSE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/3/2025,1/3/2025,TRUE,TRUE
